Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5EtuWz5xfBsynwCRkzD5Lr,"רוח סתיו","המיטב","Lehakat HaNachal",2015-03-10,173600,8,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"","NMC United Entertainment Ltd.",0.356,0.25,2,-10.913,0,0.0421,0.953,0,0.104,0.557,86.697,3
spotify:track:6GiMEjff7WWKdbHvl8uF2K,"לא פעם בקיץ","המיטב","Arik Einstein",2015-03-10,203493,8,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.622,0.399,0,-13.916,0,0.0309,0.799,0.00000173,0.0996,0.648,107.735,3
spotify:track:1rLpuk8Evne80bnfxjz1Pg,"בית הערבה","המיטב","Arik Einstein",2015-03-10,202906,24,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.463,0.293,2,-13.774,0,0.038,0.573,0.0000156,0.145,0.086,101.025,3
spotify:track:6UKD1EbawMLspYnCFnNJfI,"הגר","המיטב","Arik Einstein",2015-03-10,211466,8,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.587,0.605,7,-6.99,1,0.0346,0.55,0.0000741,0.169,0.684,123.682,4
spotify:track:1KcUNl9nvuFHl7g0w9s0rm,"אני מרגיש כמו מלך","המיטב","Arik Einstein",2015-03-10,202226,8,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.617,0.389,0,-9.072,1,0.101,0.0519,0,0.0658,0.415,104.428,4
spotify:track:569JAFupHelM70j9hptSaW,"אובלדי אובלדה","המיטב","Arik Einstein",2015-03-10,178266,15,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.825,0.718,3,-7.049,1,0.043,0.693,0,0.388,0.966,119.916,4
spotify:track:4HsHobbhQjbbPQ5bFPsVRF,"הימים הארוכים העצובים","המיטב","Arik Einstein",2015-03-10,214040,11,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.467,0.484,2,-8.95,0,0.0358,0.309,0.0000504,0.097,0.562,96.566,4
spotify:track:5SBGRO1YQ9KAK5RkhMV78G,"מה שהיה היה","המיטב","Arik Einstein",2015-03-10,205240,8,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.53,0.391,2,-11.441,0,0.0353,0.172,0.00000374,0.125,0.444,113.756,4
spotify:track:35LNL7yp5t4jVawzufXDuv,"מדוע הילד צחק בחלום","המיטב","Arik Einstein",2015-03-10,253000,8,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.41,0.231,1,-15.001,1,0.0354,0.456,0.0000102,0.084,0.125,116.797,4
spotify:track:0YRRGpjzeTlehsDMZ4myJ5,"מכופף הבננות","המיטב","Arik Einstein",2015-03-10,247000,21,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.695,0.41,5,-13.985,1,0.0582,0.434,0,0.106,0.881,130.35,4
