Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:65SBc367d0Wra0HTW9eNqj,"הפרח בגני","במיטב להיטי הזהב חלק א","Zohar Argov",1988-01-01,222133,26,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:35Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.275,0.49,0,-16.252,0,0.0364,0.227,0.00000909,0.0685,0.734,174.184,4
spotify:track:3Oz8KXLNK26rYhCd3wlYPD,"היה זה ערב סגריר","במיטב להיטי הזהב חלק א","Zohar Argov",1988-01-01,368853,26,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:35Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.552,0.652,2,-13.998,0,0.0356,0.544,0.000277,0.101,0.928,110.159,4
spotify:track:66tkotIhT1SHNtIuBodHtg,"יושב לבד","במיטב להיטי הזהב חלק א","Zohar Argov",1988-01-01,251666,20,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:35Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.437,0.635,2,-15.427,1,0.0634,0.045,0.0000327,0.257,0.679,93.974,4
spotify:track:3f6poAF3ZofmhIHL1pIRNx,"סיימתי מילואים","במיטב להיטי הזהב חלק א","Zohar Argov",1988-01-01,253266,19,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:35Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.653,0.611,0,-13.969,1,0.0309,0.0629,0.0000413,0.369,0.918,138.447,4
spotify:track:6yDaGiv9zGb7s9UZN9gEHO,"עת דודים כלה","במיטב להיטי הזהב חלק א","Zohar Argov",1988-01-01,414093,25,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:35Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.402,0.742,0,-14.361,1,0.0645,0.0234,0.212,0.27,0.607,135.835,4
spotify:track:6OdgEQkckOLl800fa1tnUl,"עד מתי אלוהי","במיטב להיטי הזהב חלק א","Zohar Argov",1988-01-01,269666,28,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:35Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.244,0.252,11,-15.896,1,0.0338,0.685,0.00000689,0.128,0.297,171.144,4
spotify:track:32gF8Kc8bjRqeFSzTMKJ1G,"צל עץ תמר ואור ירח","במיטב להיטי הזהב חלק א","Zohar Argov",1988-01-01,346466,42,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:35Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.466,0.493,0,-15.558,0,0.0425,0.129,0,0.182,0.744,78.992,4
spotify:track:5HGHGZ9iqaAysMLv2czcUv,"מפרץ שלמה","במיטב להיטי הזהב חלק א","Zohar Argov",1988-01-01,248200,26,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:35Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.608,0.329,4,-15.238,1,0.0315,0.0678,0,0.174,0.215,129.984,4
spotify:track:7BJlAU2Zu5jgNCQZTZg5Fb,"אדם שחקן","במיטב להיטי הזהב חלק א","Zohar Argov",1988-01-01,324706,20,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:35Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.687,0.582,11,-15.663,0,0.0581,0.395,0,0.338,0.707,114.94,4
spotify:track:5Tk5F8Tvwlf2uEwbe9BdMi,"מחרוזת: הרחק ביער","במיטב להיטי הזהב חלק א","Zohar Argov",1988-01-01,439893,22,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:35Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.45,0.465,2,-16.745,0,0.0402,0.291,0.000267,0.234,0.661,102.604,4
spotify:track:1Rg0j3nZ3Fj0yBurtOhyyr,"אבי","במיטב להיטי הזהב חלק א","Zohar Argov",1988-01-01,316306,17,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:35Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.306,0.37,2,-14.671,0,0.0357,0.38,0,0.306,0.464,110.114,3
spotify:track:2yoqwijEFgBbWy94VC8DWU,"אמריקה שלי","במיטב להיטי הזהב חלק א","Zohar Argov",1988-01-01,175733,19,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:35Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.706,0.398,4,-14.596,0,0.0855,0.306,0,0.0352,0.8,120.534,4
spotify:track:0Otao7zF1HuwOAFk3K51eh,"אלופיאדה","במיטב להיטי הזהב חלק א","Zohar Argov",1988-01-01,216933,14,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:35Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.656,0.624,9,-14.14,0,0.0352,0.556,0.000601,0.208,0.715,104.178,4
spotify:track:2bTXTDIF3KTrhGyvO8OTXG,"עוד דקה את נעלמת","במיטב להיטי הזהב חלק א","Zohar Argov",1988-01-01,245600,34,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:35Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.448,0.34,7,-14.618,0,0.0283,0.321,0.000374,0.105,0.299,98.406,4
spotify:track:3QT2eSg8rc8WXSjOsmcKbi,"יפה אהבה","במיטב להיטי הזהב חלק א","Zohar Argov",1988-01-01,256360,17,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:35Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.56,0.485,11,-15.87,0,0.0398,0.879,0.0000098,0.0952,0.879,96.278,4
spotify:track:7vh6dHYstdeUUg4MdV0yFT,"מרלן","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,228093,25,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.629,0.43,1,-16.724,1,0.0443,0.316,0.000436,0.179,0.741,110.562,4
spotify:track:0GMs0WH1MPi3vXbHOFryVn,"כמו שיכור","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,183040,23,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.623,0.488,0,-16.682,1,0.108,0.025,0.0000676,0.0839,0.676,111.699,4
spotify:track:1bWZol5kTamj4q8D3Wgxrn,"ילדה שלי","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,262560,23,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.469,0.392,5,-17.241,0,0.0323,0.292,0.000151,0.115,0.47,106.042,4
spotify:track:2sfkVo4R6nNrPaEfU7ffL1,"שיר אהבה בלב","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,289973,19,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.373,0.663,2,-13.711,0,0.046,0.303,0,0.124,0.715,121.527,4
spotify:track:3Pk4Syzj6jaTYijHYChvhm,"כבר עברו השנים","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,309560,37,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.42,0.419,10,-15.131,0,0.0329,0.133,0.00195,0.108,0.808,144.736,4
spotify:track:6z5tsKXxWroSzx3xA4V5kl,"נכון להיום","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,235640,40,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.699,0.407,10,-12.979,0,0.0302,0.0795,0.00128,0.0674,0.649,131.835,4
spotify:track:6hiUDxFtitzC1K2GgjxnRI,"להלה יזיד אקטר","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,338626,19,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.456,0.558,9,-12.763,0,0.0877,0.45,0.0000902,0.175,0.389,109.509,4
spotify:track:3wPzOADsHvRSmbXwceGYbe,"כוכבי לילה יזהירו","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,231573,25,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.703,0.367,4,-14.153,1,0.0381,0.394,0,0.366,0.858,124.229,4
spotify:track:5DrKHIoKhGgqJCvHChRwbo,"אלינור","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,301666,37,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.497,0.671,5,-14.335,1,0.0699,0.235,0.0791,0.172,0.467,103.147,3
spotify:track:0Fx9y7WpLXr4CGKnzU1IaJ,"נעלמת בלי מילים","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,221733,20,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.472,0.425,8,-14.73,1,0.0403,0.679,0.00000512,0.183,0.473,112.538,4
spotify:track:3jKUnsJxxJJl3t8zccsPLi,"אבא במרומים","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,261093,16,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.605,0.361,2,-15.603,1,0.0286,0.211,0,0.286,0.671,129.927,4
spotify:track:6I0nnazbhkuSvrhZRTSGja,"היו זמנים","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,225466,0,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.458,0.475,9,-14.758,1,0.0421,0.39,0,0.102,0.891,174.856,4
spotify:track:7dGeIMRmdYycxzHz5kqay7,"בדואי זקן","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,309920,23,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.834,0.405,4,-12.992,1,0.0376,0.0464,0.00000639,0.116,0.625,118.434,4
spotify:track:3XADapnRLrVvtNgurK8qOQ,"פתאום מצאתי בך","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,366426,19,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.503,0.472,7,-14.881,0,0.0293,0.0463,0.0156,0.112,0.665,101.992,4
spotify:track:6nvkpOBBk4Y3EC0pE1zrLx,"מספרים הזקנים","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,237093,18,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.375,0.395,0,-12.296,1,0.0298,0.118,0,0.0861,0.486,180.893,3
spotify:track:5DZsK2q73uAHyH1lIfKisG,"כשאת לידי","במיטב להיטי הזהב חלק ב","Zohar Argov",1988-01-01,289120,16,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:48Z,"mizrahi","2014 Reuveni Productions By PIL LTD",0.385,0.716,11,-14.427,0,0.0799,0.227,0,0.331,0.806,147.026,5
